flat,mrt,mrt_dist,num_mrt_2km,supermarket_dist,num_supermarket_2km,hawker,hawker_dist,num_hawker_2km,school,school_dist,num_school_2km
331 TAH CHING RD,LAKESIDE MRT STATION,0.736,3,0.486,14,Taman Jurong Market & Food Centre,0.424,3,Lakeside Primary School,0.595,6
49 JLN BAHAGIA,BOON KENG MRT STATION,1.088,8,0.36,22,Blk 75 Toa Payoh Lorong 5,1.0,6,Hong Wen School,0.667,7
371 WOODLANDS AVE 1,WOODLANDS MRT STATION,0.44,5,0.301,11,Blks 20/21 Marsiling Lane,1.642,2,Si Ling Primary School,0.077,10
169 BEDOK STH AVE 3,TANAH MERAH MRT STATION,0.764,2,0.579,12,Blk 58 New Upper Changi Road,0.611,7,Temasek Primary School,0.302,4
712 PASIR RIS ST 72,PASIR RIS MRT STATION,1.599,1,0.352,6,Market Street Food Centre,4.138,0,Park View Primary School,0.557,3
714 YISHUN ST 71,YISHUN MRT STATION,0.86,2,0.417,14,Chong Pang Market & Food Centre,0.5,2,Jiemin Primary School,0.316,9
212 PASIR RIS ST 21,PASIR RIS MRT STATION,1.406,2,0.267,11,Market Street Food Centre,3.06,0,White Sands Primary School,0.246,7
101 AH HOOD RD,TOA PAYOH MRT STATION,0.669,8,0.227,19,Blk 75 Toa Payoh Lorong 5,1.341,7,CHIJ Primary (Toa Payoh),0.661,8
649 ANG MO KIO AVE 5,YIO CHU KANG MRT STATION,0.46,2,0.617,11,Blk 724 Ang Mo Kio Ave 6,0.689,2,Mayflower Primary School,0.164,6
59 TELOK BLANGAH HTS,TELOK BLANGAH MRT STATION,0.664,6,0.558,14,Blk 11 Telok Blangah Crescent,0.606,5,Blangah Rise Primary School,0.558,5
602 ELIAS RD,PASIR RIS MRT STATION,0.742,1,0.279,8,Market Street Food Centre,3.53,0,Elias Park Primary School,0.327,6
230J TAMPINES ST 21,TAMPINES EAST MRT STATION,0.549,6,0.415,18,Market Street Food Centre,1.321,1,Gongshang Primary School,0.13,13
340 WOODLANDS AVE 1,MARSILING MRT STATION,0.798,4,0.203,8,Blks 20/21 Marsiling Lane,1.434,2,Fuchun Primary School,0.336,8
128 LOR AH SOO,KOVAN MRT STATION,0.949,5,0.515,12,Market Street Food Centre,0.815,2,Paya Lebar Methodist Girls' School (Primary),0.301,6
151 RIVERVALE CRES,RUMBIA LRT STATION,0.062,23,0.166,19,Market Street Food Centre,4.259,0,Rivervale Primary School,0.214,17
453 YISHUN ST 41,KHATIB MRT STATION,1.427,2,0.524,14,Chong Pang Market & Food Centre,2.283,0,Northland Primary School,0.528,8
142 TAMPINES ST 12,TAMPINES MRT STATION,0.51,7,0.362,18,Market Street Food Centre,0.368,1,Tampines Primary School,0.153,11
288C BT BATOK ST 25,BUKIT BATOK MRT STATION,1.201,4,0.308,17,Bukit Timah Market,1.929,1,Keming Primary School,0.396,5
719 BEDOK RESERVOIR RD,BEDOK NORTH MRT STATION,0.788,5,0.264,17,Blk 538 Bedok North Street 3,0.482,4,Damai Primary School,0.41,6
304 CANBERRA RD,SEMBAWANG MRT STATION,0.499,1,0.461,13,Chong Pang Market & Food Centre,1.619,2,Sembawang Primary School,0.136,7
678D JURONG WEST ST 64,BOON LAY MRT STATION,0.755,3,0.433,10,Blk 505 Jurong West Street 52,1.757,1,Westwood Primary School,0.409,11
246 TAMPINES ST 21,TAMPINES MRT STATION,0.235,5,0.266,16,Market Street Food Centre,0.915,1,Yumin Primary School,0.418,11
542 WOODLANDS DR 16,WOODLANDS SOUTH MRT STATION,0.059,4,0.301,8,Blks 20/21 Marsiling Lane,2.539,0,Innova Primary School,0.363,10
624B WOODLANDS DR 52,ADMIRALTY MRT STATION,0.653,4,0.595,13,Blks 20/21 Marsiling Lane,2.721,0,Woodlands Ring Primary School,0.28,10
522 JURONG WEST ST 52,LAKESIDE MRT STATION,0.539,3,0.466,11,Blk 505 Jurong West Street 52,0.406,2,Rulang Primary School,0.203,8
825 JURONG WEST ST 81,PIONEER MRT STATION,1.057,2,0.521,8,Blk 505 Jurong West Street 52,2.832,0,Pioneer Primary School,0.353,8
179 LOMPANG RD,PETIR LRT STATION,0.293,15,0.14,12,Bukit Timah Market,4.629,0,Zhenghua Primary School,0.473,8
82A LOR 4 TOA PAYOH,TOA PAYOH MRT STATION,0.404,7,0.345,19,Blk 93 Toa Payoh Lorong 4,0.283,5,Kheng Cheng School,0.251,10
710 TAMPINES ST 71,TAMPINES MRT STATION,0.707,4,0.518,14,Market Street Food Centre,1.652,1,Poi Ching School,0.296,11
645A YISHUN ST 61,KHATIB MRT STATION,0.82,2,0.611,16,Chong Pang Market & Food Centre,1.518,2,Northland Primary School,0.292,10
260A PUNGGOL WAY,SOO TECK LRT STATION,0.072,20,0.072,16,Market Street Food Centre,5.19,0,Valour Primary School,0.355,15
49 TELOK BLANGAH DR,TELOK BLANGAH MRT STATION,0.216,4,0.263,12,Blk 11 Telok Blangah Crescent,1.02,5,Blangah Rise Primary School,0.511,4
133 BEDOK NTH AVE 3,BEDOK MRT STATION,0.755,3,0.448,19,Blk 216 Bedok North Street 1,0.286,7,Bedok Green Primary School,0.512,7
22 TEBAN GDNS RD,JURONG EAST MRT STATION,1.184,2,0.151,15,Market Street Food Centre,2.301,0,Fuhua Primary School,1.571,1
1 DELTA AVE,TIONG BAHRU MRT STATION,0.673,9,0.203,30,Zion Riverside Food Centre,0.291,9,Alexandra Primary School,0.47,6
509 CHOA CHU KANG ST 51,CHOA CHU KANG MRT STATION,0.407,6,0.473,9,Market Street Food Centre,4.943,0,De La Salle School,0.758,8
219 PETIR RD,PENDING LRT STATION,0.27,13,0.38,10,Bukit Timah Market,3.856,0,Bukit Panjang Primary School,0.376,7
367 CORPORATION DR,LAKESIDE MRT STATION,0.754,3,0.319,12,Taman Jurong Market & Food Centre,0.427,2,Lakeside Primary School,0.13,7
90 C'WEALTH DR,COMMONWEALTH MRT STATION,0.363,7,0.433,14,Commonwealth Crescent Market,0.181,4,New Town Primary School,0.641,5
220 BISHAN ST 23,BISHAN MRT STATION,0.683,6,0.563,17,Blk 409 Ang Mo Kio Ave 10,0.918,4,Catholic High School (Primary),0.618,11
482 TAMPINES ST 43,TAMPINES EAST MRT STATION,0.627,4,0.145,18,Market Street Food Centre,2.025,0,Tampines North Primary School,0.493,12
3 GHIM MOH RD,BUONA VISTA MRT STATION,0.629,6,0.258,13,Blk 20 Ghim Moh Road,0.16,5,Henry Park Primary School,0.609,3
17A CIRCUIT RD,MACPHERSON MRT STATION,0.443,9,0.08,22,Blks 79/79A Circuit Road,0.499,6,Canossa Catholic Primary School,0.747,8
78 BEDOK NTH RD,TANAH MERAH MRT STATION,0.609,3,0.343,17,Blk 58 New Upper Changi Road,0.34,8,Bedok Green Primary School,0.536,6
147 SILAT AVE,OUTRAM PARK MRT STATION,0.983,9,0.832,21,Blk 112 Jalan Bukit Merah,0.641,14,CHIJ (Kellock),0.411,7
856E TAMPINES ST 82,TAMPINES MRT STATION,0.528,6,0.554,13,Market Street Food Centre,1.057,1,Junyuan Primary School,0.56,9
523C TAMPINES CTRL 7,TAMPINES MRT STATION,0.705,5,0.708,15,Market Street Food Centre,1.728,1,Angsana Primary School,0.411,12
618 WOODLANDS AVE 4,WOODLANDS SOUTH MRT STATION,0.77,4,0.474,14,Blks 20/21 Marsiling Lane,2.439,0,Woodlands Ring Primary School,0.17,10
319B ANCHORVALE DR,RENJONG LRT STATION,0.517,19,0.618,13,Market Street Food Centre,3.607,0,Nan Chiau Primary School,0.12,17
263 TAMPINES ST 21,TAMPINES EAST MRT STATION,0.471,6,0.17,16,Market Street Food Centre,1.162,1,Yumin Primary School,0.25,12
522 BEDOK NTH AVE 1,BEDOK MRT STATION,0.81,4,0.253,18,Blk 538 Bedok North Street 3,0.305,7,Fengshan Primary School,0.535,7
720 JURONG WEST AVE 5,PIONEER MRT STATION,0.748,2,0.289,9,Blk 505 Jurong West Street 52,2.404,0,West Grove Primary School,0.207,9
95 LOR 4 TOA PAYOH,BRADDELL MRT STATION,0.301,6,0.623,15,Blk 93 Toa Payoh Lorong 4,0.074,6,Kheng Cheng School,0.268,10
121 YISHUN ST 11,YISHUN MRT STATION,0.768,3,0.442,13,Chong Pang Market & Food Centre,0.369,2,Ahmad Ibrahim Primary School,0.339,9
226E ANG MO KIO AVE 1,ANG MO KIO MRT STATION,1.15,5,0.228,13,Blk 724 Ang Mo Kio Ave 6,0.975,4,Ang Mo Kio Primary School,0.314,9
402 TAMPINES ST 41,TAMPINES MRT STATION,0.37,6,0.158,17,Market Street Food Centre,1.324,1,Gongshang Primary School,0.402,12
402 JURONG WEST ST 42,LAKESIDE MRT STATION,1.022,2,0.398,6,Blk 505 Jurong West Street 52,0.615,1,Shuqun Primary School,0.642,6
215 PETIR RD,PENDING LRT STATION,0.355,13,0.342,10,Bukit Timah Market,3.947,0,Bukit Panjang Primary School,0.573,7
202 ANG MO KIO AVE 3,ANG MO KIO MRT STATION,0.584,4,0.228,12,Blk 724 Ang Mo Kio Ave 6,0.468,4,Ang Mo Kio Primary School,0.552,9
413 BEDOK NTH AVE 2,BEDOK RESERVOIR MRT STATION,0.708,5,0.201,20,Market Street Food Centre,0.328,7,Fengshan Primary School,0.088,6
149 PETIR RD,PETIR LRT STATION,0.111,15,0.513,13,Bukit Timah Market,4.252,0,Zhenghua Primary School,0.424,8
255 YISHUN RING RD,YISHUN MRT STATION,0.831,1,0.137,13,Chong Pang Market & Food Centre,1.389,2,Xishan Primary School,0.34,8
584 WOODLANDS DR 16,WOODLANDS SOUTH MRT STATION,0.275,4,0.149,10,Blks 20/21 Marsiling Lane,2.508,0,Innova Primary School,0.472,10
205 PASIR RIS ST 21,TAMPINES EAST MRT STATION,1.508,2,0.189,11,Market Street Food Centre,3.136,0,White Sands Primary School,0.272,6
408 SEMBAWANG DR,SEMBAWANG MRT STATION,0.552,1,0.096,13,Chong Pang Market & Food Centre,2.668,0,Endeavour Primary School,0.071,6
332 CLEMENTI AVE 2,CLEMENTI MRT STATION,0.243,2,0.302,14,Blk 448 Clementi Ave 3,0.366,3,Pei Tong Primary School,0.162,5
558 PASIR RIS ST 51,PASIR RIS MRT STATION,0.737,4,0.529,16,Market Street Food Centre,2.497,0,Tampines North Primary School,0.774,11
121 RIVERVALE DR,BAKAU LRT STATION,0.139,17,0.427,14,Market Street Food Centre,3.726,0,North Spring Primary School,0.177,16
118 ANG MO KIO AVE 4,YIO CHU KANG MRT STATION,1.409,2,0.463,8,Sembawang Hill Food Centre,0.727,2,Mayflower Primary School,0.317,7
738 JURONG WEST ST 75,PIONEER MRT STATION,1.013,2,0.431,10,Blk 505 Jurong West Street 52,2.028,0,Westwood Primary School,0.113,10
847 WOODLANDS ST 82,WOODLANDS MRT STATION,0.794,4,0.115,15,Blks 20/21 Marsiling Lane,1.627,2,Qihua Primary School,0.378,11
256 PASIR RIS ST 21,TAMPINES EAST MRT STATION,1.643,2,0.092,11,Market Street Food Centre,3.273,0,White Sands Primary School,0.414,5
102 TECK WHYE LANE,TECK WHYE LRT STATION,0.086,14,0.139,15,Market Street Food Centre,4.152,0,Teck Whye Primary School,0.736,10
267B COMPASSVALE LINK,RANGGUNG LRT STATION,0.118,14,0.153,15,Market Street Food Centre,2.952,0,North Vista Primary School,0.169,16
58 HAVELOCK RD,TIONG BAHRU MRT STATION,0.444,9,0.138,31,Beo Crescent Market,0.156,9,Alexandra Primary School,0.421,6
265 TAMPINES ST 21,TAMPINES MRT STATION,0.555,6,0.35,16,Market Street Food Centre,0.986,1,Yumin Primary School,0.136,12
721 BEDOK RESERVOIR RD,BEDOK RESERVOIR MRT STATION,0.68,5,0.379,18,Blk 538 Bedok North Street 3,0.495,4,Damai Primary School,0.545,8
650 HOUGANG AVE 8,HOUGANG MRT STATION,1.235,5,0.158,19,Market Street Food Centre,1.536,4,Xinmin Primary School,0.214,11
476B CHOA CHU KANG AVE 5,SOUTH VIEW LRT STATION,0.932,5,0.185,10,Blk 505 Jurong West Street 52,3.707,0,Concord Primary School,0.352,4
121 BISHAN ST 12,BISHAN MRT STATION,0.502,7,0.204,13,Blk 210 Toa Payoh Lorong 8,0.849,7,Guangyang Primary School,0.243,13
467 NTH BRIDGE RD,LAVENDER MRT STATION,0.236,21,0.358,26,North Bridge Road Market & Food Centre,0.121,8,Stamford Primary School,0.637,4
736 WOODLANDS CIRCLE,ADMIRALTY MRT STATION,0.528,4,0.342,14,Blks 20/21 Marsiling Lane,2.184,0,Evergreen Primary School,0.288,10
501B WELLINGTON CIRCLE,SEMBAWANG MRT STATION,0.376,1,0.25,12,Chong Pang Market & Food Centre,2.384,0,Wellington Primary School,0.108,5
266C COMPASSVALE BOW,RANGGUNG LRT STATION,0.169,13,0.1,15,Market Street Food Centre,2.901,0,North Vista Primary School,0.156,16
432 HOUGANG AVE 6,HOUGANG MRT STATION,0.554,10,0.404,15,Market Street Food Centre,2.055,0,Punggol Primary School,0.23,13
119 YISHUN RING RD,YISHUN MRT STATION,0.924,2,0.53,13,Chong Pang Market & Food Centre,0.423,2,Ahmad Ibrahim Primary School,0.487,8
97 JLN DUA,DAKOTA MRT STATION,0.069,9,0.422,24,Blk 51 Old Airport Road,0.31,9,Kong Hwa School,0.227,5
165 HOUGANG AVE 1,KOVAN MRT STATION,1.139,5,0.499,12,Market Street Food Centre,0.995,2,Paya Lebar Methodist Girls' School (Primary),0.326,6
726 YISHUN ST 71,YISHUN MRT STATION,0.58,2,0.315,16,Chong Pang Market & Food Centre,0.593,2,Jiemin Primary School,0.13,10
241 KIM KEAT LINK,TOA PAYOH MRT STATION,0.951,7,0.255,20,Blk 75 Toa Payoh Lorong 5,0.686,6,Pei Chun Public School,0.76,7
527 BEDOK NTH ST 3,BEDOK RESERVOIR MRT STATION,0.54,4,0.34,18,Market Street Food Centre,0.28,7,Yu Neng Primary School,0.444,8
527 BT BATOK ST 51,BUKIT GOMBAK MRT STATION,0.191,4,0.241,13,Market Street Food Centre,2.149,0,Dazhong Primary School,0.413,6
104 BT BATOK CTRL,BUKIT BATOK MRT STATION,0.26,5,0.236,21,Market Street Food Centre,1.222,1,Princess Elizabeth Primary School,0.695,8
20 HOLLAND DR,DOVER MRT STATION,0.459,6,0.453,19,Blk 20 Ghim Moh Road,0.766,4,Henry Park Primary School,0.403,3
720 WOODLANDS AVE 6,ADMIRALTY MRT STATION,0.18,4,0.179,15,Blks 20/21 Marsiling Lane,2.657,0,Admiralty Primary School,0.12,11
468A ADMIRALTY DR,SEMBAWANG MRT STATION,0.722,2,0.07,18,Chong Pang Market & Food Centre,2.623,0,Canberra Primary School,0.251,8
912 HOUGANG ST 91,BUANGKOK MRT STATION,1.122,9,0.433,18,Market Street Food Centre,2.158,0,Yio Chu Kang Primary School,0.191,15
885 TAMPINES ST 83,TAMPINES WEST MRT STATION,0.868,4,0.287,12,Market Street Food Centre,1.448,2,Poi Ching School,0.771,8
53 STIRLING RD,QUEENSTOWN MRT STATION,0.321,7,0.637,15,Tanglin Halt Market,0.784,5,Queenstown Primary School,0.453,3
198 PASIR RIS ST 12,TAMPINES EAST MRT STATION,1.335,2,0.268,12,Market Street Food Centre,2.938,0,White Sands Primary School,0.186,7
904 JURONG WEST ST 91,PIONEER MRT STATION,1.304,2,0.598,7,Blk 505 Jurong West Street 52,3.765,0,Juying Primary School,0.244,7
256B SUMANG WALK,SOO TECK LRT STATION,0.155,20,0.1,16,Market Street Food Centre,5.314,0,Valour Primary School,0.334,12
681 RACE COURSE RD,FARRER PARK MRT STATION,0.194,20,0.167,29,Pek Kio Market & Food Centre,0.621,9,Farrer Park Primary School,0.523,5
95 BEDOK NTH AVE 4,TANAH MERAH MRT STATION,0.878,5,0.477,19,Blk 58 New Upper Changi Road,1.074,8,Red Swastika School,0.862,9
104B ANG MO KIO ST 11,ANG MO KIO MRT STATION,1.247,2,0.317,12,Blk 724 Ang Mo Kio Ave 6,0.899,2,Ang Mo Kio Primary School,0.275,8
240 HOUGANG ST 22,KOVAN MRT STATION,0.749,3,0.301,11,Market Street Food Centre,0.59,2,Xinghua Primary School,0.166,6
22 GHIM MOH LINK,BUONA VISTA MRT STATION,0.577,7,0.159,16,Blk 20 Ghim Moh Road,0.355,5,Henry Park Primary School,0.82,3
673C EDGEFIELD PLAINS,DAMAI LRT STATION,0.314,18,0.232,15,Market Street Food Centre,5.982,0,Oasis Primary School,0.293,11
506 WOODLANDS DR 14,WOODLANDS MRT STATION,0.516,5,0.159,11,Blks 20/21 Marsiling Lane,1.966,2,Woodgrove Primary School,0.079,11
603 SENJA RD,SENJA LRT STATION,0.131,16,0.237,12,Bukit Timah Market,4.903,0,West View Primary School,0.317,9
843 TAMPINES ST 83,TAMPINES WEST MRT STATION,0.816,4,0.295,11,Market Street Food Centre,1.319,1,Poi Ching School,0.641,9
8 LOR 7 TOA PAYOH,BRADDELL MRT STATION,1.13,8,0.176,17,Blk 210 Toa Payoh Lorong 8,0.323,5,Pei Chun Public School,0.127,11
337D TAH CHING RD,LAKESIDE MRT STATION,0.769,3,0.293,14,Taman Jurong Market & Food Centre,0.289,3,Lakeside Primary School,0.403,6
101 C'WEALTH CRES,HOLLAND VILLAGE MRT STATION,0.665,7,0.617,13,Commonwealth Crescent Market,0.138,4,New Town Primary School,0.934,5
514 BEDOK NTH AVE 2,BEDOK RESERVOIR MRT STATION,0.607,4,0.239,20,Market Street Food Centre,0.216,7,Yu Neng Primary School,0.404,6
215 TAMPINES ST 23,TAMPINES EAST MRT STATION,0.232,6,0.135,17,Market Street Food Centre,1.399,1,Yumin Primary School,0.479,11
173 HOUGANG AVE 1,KOVAN MRT STATION,1.189,5,0.446,11,Market Street Food Centre,1.038,2,Paya Lebar Methodist Girls' School (Primary),0.436,6
405 FAJAR RD,PETIR LRT STATION,0.393,13,0.371,11,Bukit Timah Market,4.724,0,Zhenghua Primary School,0.296,8
452 TAMPINES ST 42,TAMPINES EAST MRT STATION,0.074,6,0.417,17,Market Street Food Centre,1.688,1,Gongshang Primary School,0.615,13
161 HOUGANG ST 11,SERANGOON MRT STATION,0.652,6,0.109,11,Market Street Food Centre,1.092,4,Paya Lebar Methodist Girls' School (Primary),0.776,9
627 ANG MO KIO AVE 9,YIO CHU KANG MRT STATION,0.398,2,0.872,9,Blk 724 Ang Mo Kio Ave 6,1.212,2,Anderson Primary School,0.269,5
526C PASIR RIS ST 51,PASIR RIS MRT STATION,0.563,4,0.17,16,Market Street Food Centre,2.551,0,Elias Park Primary School,0.728,12
257 SERANGOON CTRL DR,SERANGOON MRT STATION,0.502,6,0.178,10,Serangoon Garden Market,1.06,4,Zhonghua Primary School,0.616,9
190 BT BATOK WEST AVE 6,BUKIT BATOK MRT STATION,0.564,5,0.341,19,Market Street Food Centre,0.948,1,Yuhua Primary School,0.62,8
137 PASIR RIS ST 11,TAMPINES EAST MRT STATION,1.034,4,0.456,14,Market Street Food Centre,2.599,0,White Sands Primary School,0.413,10
35 CHAI CHEE AVE,BEDOK MRT STATION,0.422,4,0.21,22,Blk 208B New Upper Changi Road,0.48,7,Opera Estate Primary School,0.667,7
18D CIRCUIT RD,MACPHERSON MRT STATION,0.359,10,0.108,22,Blks 79/79A Circuit Road,0.556,7,Canossa Catholic Primary School,0.833,8
130 CLARENCE LANE,REDHILL MRT STATION,0.413,3,0.43,20,ABC Brickworks Market & Food Centre,0.987,7,Gan Eng Seng Primary School,0.792,6
588A MONTREAL DR,SEMBAWANG MRT STATION,0.648,1,0.737,9,Chong Pang Market & Food Centre,2.078,0,Wellington Primary School,0.418,5
360 YUNG AN RD,LAKESIDE MRT STATION,0.935,3,0.116,15,Taman Jurong Market & Food Centre,0.137,2,Lakeside Primary School,0.417,6
544 JELAPANG RD,SENJA LRT STATION,0.194,14,0.172,11,Bukit Timah Market,4.897,0,West View Primary School,0.457,9
425 HOUGANG AVE 6,HOUGANG MRT STATION,0.273,7,0.087,16,Market Street Food Centre,1.794,2,CHIJ Our Lady of the Nativity,0.443,12
476 JURONG WEST ST 41,LAKESIDE MRT STATION,0.523,2,0.07,9,Blk 505 Jurong West Street 52,0.674,3,Shuqun Primary School,0.296,9
318 TAMPINES ST 33,TAMPINES EAST MRT STATION,0.548,7,0.406,15,Market Street Food Centre,1.441,1,Chongzheng Primary School,0.527,10
312A SUMANG LINK,NIBONG LRT STATION,0.117,16,0.0,14,Market Street Food Centre,5.938,0,Punggol Cove Primary School,0.195,9
103B EDGEFIELD PLAINS,COVE LRT STATION,0.221,24,0.485,18,Market Street Food Centre,4.75,0,Edgefield Primary School,0.438,17
327 UBI AVE 1,UBI MRT STATION,0.628,10,0.401,16,Blk 4A Eunos Crescent,0.727,4,Eunos Primary School,0.275,6
666A PUNGGOL DR,KADALOOR LRT STATION,0.265,16,0.254,12,Market Street Food Centre,5.698,0,Horizon Primary School,0.288,10
279 TAMPINES ST 22,SIMEI MRT STATION,0.388,8,0.137,19,Market Street Food Centre,0.792,1,Angsana Primary School,0.25,9
163 TAMPINES ST 12,TAMPINES MRT STATION,0.492,6,0.151,16,Market Street Food Centre,0.557,1,Tampines Primary School,0.385,11
432C YISHUN AVE 1,KHATIB MRT STATION,1.465,2,0.561,13,Chong Pang Market & Food Centre,2.348,0,Northland Primary School,0.585,7
544 ANG MO KIO AVE 10,ANG MO KIO MRT STATION,0.889,2,0.322,14,Blk 724 Ang Mo Kio Ave 6,1.126,4,Jing Shan Primary School,0.519,5
231 HOUGANG ST 21,KOVAN MRT STATION,0.39,5,0.342,15,Market Street Food Centre,0.231,2,Xinghua Primary School,0.287,7
667A PUNGGOL DR,OASIS LRT STATION,0.145,19,0.404,13,Market Street Food Centre,5.728,0,Horizon Primary School,0.343,11
379 CLEMENTI AVE 5,CLEMENTI MRT STATION,0.435,2,0.142,13,Blk 353 Clementi Ave 2,0.526,3,Pei Tong Primary School,0.198,5
506C YISHUN AVE 4,KHATIB MRT STATION,0.859,2,0.593,12,Chong Pang Market & Food Centre,2.211,0,Naval Base Primary School,0.208,6
428 CLEMENTI AVE 3,CLEMENTI MRT STATION,0.353,2,0.269,13,Blk 448 Clementi Ave 3,0.165,3,Clementi Primary School,0.282,4
281 BT BATOK EAST AVE 3,BUKIT BATOK MRT STATION,0.909,3,0.054,16,Bukit Timah Market,2.232,0,Keming Primary School,0.254,7
913 TAMPINES ST 91,TAMPINES WEST MRT STATION,0.376,6,0.455,15,Market Street Food Centre,0.738,2,Junyuan Primary School,0.114,12
14 KG ARANG RD,MOUNTBATTEN MRT STATION,0.687,5,0.848,15,Kallang Estate Market,0.792,2,Kong Hwa School,1.289,3
17 JLN TENTERAM,BOON KENG MRT STATION,0.997,9,0.449,20,Blk 75 Toa Payoh Lorong 5,1.152,6,Hong Wen School,0.754,6
208 NEW UPP CHANGI RD,BEDOK MRT STATION,0.227,4,0.068,21,Blk 208B New Upper Changi Road,0.116,7,Fengshan Primary School,0.459,7
110 YISHUN RING RD,YISHUN MRT STATION,0.821,3,0.349,14,Chong Pang Market & Food Centre,0.247,2,Ahmad Ibrahim Primary School,0.443,9
127 RIVERVALE ST,RUMBIA LRT STATION,0.427,22,0.329,19,Market Street Food Centre,3.921,0,Seng Kang Primary School,0.298,19
249 JURONG EAST ST 24,CHINESE GARDEN MRT STATION,0.739,4,0.644,17,Market Street Food Centre,0.198,1,Yuhua Primary School,0.207,6
142 MARSILING RD,MARSILING MRT STATION,0.6,3,0.6,8,Blks 20/21 Marsiling Lane,0.709,2,Marsiling Primary School,0.52,7
135 YISHUN ST 11,YISHUN MRT STATION,0.463,2,0.394,16,Chong Pang Market & Food Centre,0.386,2,Ahmad Ibrahim Primary School,0.152,11
108 PASIR RIS ST 12,PASIR RIS MRT STATION,1.059,2,0.252,13,Market Street Food Centre,2.806,0,White Sands Primary School,0.483,9
623B PUNGGOL CTRL,OASIS LRT STATION,0.338,17,0.194,15,Market Street Food Centre,5.298,0,Horizon Primary School,0.176,14
439 ANG MO KIO AVE 10,ANG MO KIO MRT STATION,0.596,4,0.116,16,Blk 409 Ang Mo Kio Ave 10,0.449,4,Teck Ghee Primary School,0.293,11
484 CHOA CHU KANG AVE 5,SOUTH VIEW LRT STATION,1.004,5,0.265,10,Blk 505 Jurong West Street 52,3.622,0,Concord Primary School,0.403,4
44 JLN BAHAGIA,BOON KENG MRT STATION,1.015,9,0.303,22,Blk 75 Toa Payoh Lorong 5,1.064,6,Hong Wen School,0.626,7
115 BISHAN ST 12,BISHAN MRT STATION,0.324,7,0.08,13,Blk 93 Toa Payoh Lorong 4,1.052,7,Guangyang Primary School,0.266,12
143 RIVERVALE DR,RUMBIA LRT STATION,0.157,21,0.303,18,Market Street Food Centre,4.065,0,Rivervale Primary School,0.392,18
678B JURONG WEST ST 64,BOON LAY MRT STATION,0.762,3,0.408,10,Blk 505 Jurong West Street 52,1.695,1,Westwood Primary School,0.438,12
166 STIRLING RD,QUEENSTOWN MRT STATION,0.605,5,0.088,15,Alexandra Village Food Centre,0.541,4,Queenstown Primary School,0.791,4
533 WOODLANDS DR 14,WOODLANDS SOUTH MRT STATION,0.415,4,0.189,9,Blks 20/21 Marsiling Lane,2.202,0,Innova Primary School,0.239,10
404 BT BATOK WEST AVE 7,BUKIT GOMBAK MRT STATION,1.061,5,0.214,13,Market Street Food Centre,2.571,0,Dazhong Primary School,0.793,6
867 YISHUN ST 81,KHATIB MRT STATION,0.679,2,0.408,12,Chong Pang Market & Food Centre,2.207,0,Naval Base Primary School,0.28,6
221A JURONG EAST ST 21,CHINESE GARDEN MRT STATION,0.451,5,0.478,18,Market Street Food Centre,0.346,2,Fuhua Primary School,0.465,5
121A RIVERVALE DR,BAKAU LRT STATION,0.159,16,0.441,13,Market Street Food Centre,3.717,0,North Spring Primary School,0.216,15
4 BOON KENG RD,BOON KENG MRT STATION,0.429,15,0.397,26,Berseh Food Centre,1.011,8,Hong Wen School,0.682,4
213 SERANGOON AVE 4,SERANGOON MRT STATION,0.732,5,0.327,13,Serangoon Garden Market,0.964,4,Zhonghua Primary School,0.5,10
860 WOODLANDS ST 83,WOODLANDS MRT STATION,0.773,4,0.233,14,Blks 20/21 Marsiling Lane,1.932,2,Woodlands Primary School,0.421,10
56 HAVELOCK RD,TIONG BAHRU MRT STATION,0.484,10,0.238,30,Beo Crescent Market,0.225,11,Alexandra Primary School,0.517,6
631 HOUGANG AVE 8,HOUGANG MRT STATION,1.209,3,0.207,19,Market Street Food Centre,1.379,4,Xinmin Primary School,0.191,11
19 CANTONMENT CL,OUTRAM PARK MRT STATION,0.653,13,0.503,16,Blk 6 Tanjong Pagar Plaza,0.553,10,Cantonment Primary School,0.206,4
127 GEYLANG EAST AVE 1,PAYA LEBAR MRT STATION,0.491,13,0.255,27,Blk 117 Aljunied Ave 2,0.333,10,Geylang Methodist School (Primary),0.436,8
221 SERANGOON AVE 4,SERANGOON MRT STATION,0.947,4,0.536,13,Serangoon Garden Market,0.714,5,Zhonghua Primary School,0.256,7
87 TELOK BLANGAH HTS,TELOK BLANGAH MRT STATION,0.699,6,0.401,12,ABC Brickworks Market & Food Centre,1.107,5,Blangah Rise Primary School,0.098,3
51 JLN BAHAGIA,TOA PAYOH MRT STATION,1.093,8,0.384,22,Blk 75 Toa Payoh Lorong 5,0.979,6,Hong Wen School,0.683,7
296 TAMPINES ST 22,TAMPINES EAST MRT STATION,0.584,8,0.387,14,Market Street Food Centre,1.358,1,Chongzheng Primary School,0.455,10
35 EUNOS CRES,EUNOS MRT STATION,0.254,9,0.243,24,Blk 4A Eunos Crescent,0.332,8,Eunos Primary School,0.513,10
131 PASIR RIS ST 11,TAMPINES EAST MRT STATION,1.093,4,0.43,14,Market Street Food Centre,2.62,0,White Sands Primary School,0.51,11
