flat,mrt,mrt_dist,num_mrt_2km,supermarket_dist,num_supermarket_2km,hawker,hawker_dist,num_hawker_2km,school,school_dist,num_school_2km
113 ANG MO KIO AVE 4,YIO CHU KANG MRT STATION,1.488,2,0.476,11,Sembawang Hill Food Centre,0.775,2,Mayflower Primary School,0.483,7
273 TOH GUAN RD,BUKIT BATOK MRT STATION,0.85,5,0.551,19,Market Street Food Centre,0.848,1,Yuhua Primary School,0.468,8
490A TAMPINES ST 45,TAMPINES EAST MRT STATION,0.689,4,0.447,17,Market Street Food Centre,2.284,0,White Sands Primary School,0.605,12
928 JURONG WEST ST 92,PIONEER MRT STATION,0.975,3,0.271,9,Blk 505 Jurong West Street 52,3.39,0,Xingnan Primary School,0.231,7
748B BEDOK RESERVOIR CRES,BEDOK NORTH MRT STATION,0.404,5,0.138,19,Blk 538 Bedok North Street 3,0.6,4,Damai Primary School,0.092,6
324A SENGKANG EAST WAY,CHENG LIM LRT STATION,0.365,22,0.469,17,Market Street Food Centre,3.86,0,Nan Chiau Primary School,0.17,18
511 ANG MO KIO AVE 8,ANG MO KIO MRT STATION,0.407,2,0.417,13,Blk 724 Ang Mo Kio Ave 6,0.434,2,Jing Shan Primary School,0.265,7
220 YISHUN ST 21,YISHUN MRT STATION,0.462,2,0.289,16,Chong Pang Market & Food Centre,0.784,2,Yishun Primary School,0.131,10
537 BT PANJANG RING RD,SENJA LRT STATION,0.14,14,0.358,11,Bukit Timah Market,5.101,0,West View Primary School,0.321,10
168C PUNGGOL FIELD,CORAL EDGE LRT STATION,0.136,13,0.09,12,Market Street Food Centre,4.934,0,Greendale Primary School,0.327,12
213 LOR 8 TOA PAYOH,BRADDELL MRT STATION,0.85,9,0.041,15,Blk 210 Toa Payoh Lorong 8,0.082,5,First Toa Payoh Primary School,0.145,11
25 CHAI CHEE RD,BEDOK MRT STATION,0.646,4,0.052,22,Blk 208B New Upper Changi Road,0.723,7,Opera Estate Primary School,0.493,7
6 BEDOK STH AVE 2,BEDOK MRT STATION,0.593,3,0.178,19,Blk 16 Bedok South Road,0.194,8,Bedok Green Primary School,0.349,6
658 HOUGANG AVE 8,HOUGANG MRT STATION,1.134,5,0.329,19,Market Street Food Centre,1.633,2,Xinmin Primary School,0.233,12
679A JURONG WEST CTRL 1,BOON LAY MRT STATION,0.627,3,0.541,11,Blk 505 Jurong West Street 52,1.525,1,Westwood Primary School,0.672,11
